group	marker	posi	group_Americain	posi_physique
7A	Cluster_10107|Contig2|likelySeq@262	103.2	7A	33268998
5B	Cluster_10108|Contig2|complementarySeq@833	189.3	5B	228335145
1B	Cluster_10114|Contig1|likelySeq@276	70.9	1B	170079480
1B	Cluster_10114|Contig4|likelySeq@512	23.3	1B	10164007
6A	Cluster_10115|Contig1|complementarySeq@155	155	NA	NA
6A	Cluster_10115|Contig1|likelySeq@155	155	NA	NA
6B	Cluster_10115|Contig4|complementarySeq@292	163.4	NA	NA
4A	Cluster_10122|Contig1|original@1741	228.4	4A	212584318
4A	Cluster_10122|Contig4|original@1766	228.4	4A	212584318
4A	Cluster_10122|Contig5|original@1742	228.4	4A	212584318
7A	Cluster_10122|Contig6|original@679	6.2	4A	212584318
4B	Cluster_10123|Contig1|likelySeq@1000	89.6	4A	81039076
5A	Cluster_10125|Contig2|likelySeq@289	262.8	NA	NA
1B	Cluster_10129|Contig1|original@476	142.6	1A	227383515
6A	Cluster_1013|Contig5|complementarySeq@212	203.7	6A	204611433
7A	Cluster_1013|Contig7|original@710	150.2	7A	83601008
7A	Cluster_10130|Contig1|complementarySeq@473	97.9	7B	5277810
7A	Cluster_10130|Contig1|likelySeq@473	97.9	7B	5277810
5B	Cluster_10132|Contig1|original@76	253.9	5B	267963499
5B	Cluster_10132|Contig2|original@1427	253.9	5B	267963499
4A	Cluster_10132|Contig5|original@151	148.4	4A	176218675
2A	Cluster_10137|Contig1|likelySeq@515	69.9	NA	NA
4B	Cluster_10139|Contig1|original@977	89.6	4B	102730700
4B	Cluster_10140|Contig1|complementarySeq@114	60.4	4B	14540309
4B	Cluster_10140|Contig1|likelySeq@53	60.4	4B	14540309
4A	Cluster_10140|Contig2|complementarySeq@146	100.9	4A	151571775
4A	Cluster_10140|Contig2|likelySeq@146	100.9	4A	151571775
7B	Cluster_10141|Contig3|complementarySeq@479	105.3	7B	176948322
1B	Cluster_10145|Contig1|original@231	99	NA	NA
2B	Cluster_10149|Contig2|likelySeq@845	98.7	2B	35164011
6B	Cluster_1015|Contig2|original@939	67.7	6A	26853174
7A	Cluster_10156|Contig2|complementarySeq@539	61.7	NA	NA
7A	Cluster_10156|Contig2|likelySeq@539	61.7	7A	13987040
7A	Cluster_10163|Contig1|likelySeq@448	106.3	7A	31560066
6B	Cluster_10165|Contig1|likelySeq@351	118.7	6A	164675457
6B	Cluster_10169|Contig1|complementarySeq@1082	48.9	NA	NA
6A	Cluster_10169|Contig1|likelySeq@718	32.2	NA	NA
6A	Cluster_10169|Contig2|original@1903	31.6	6A	11882377
6A	Cluster_10169|Contig2|original@1779	32.2	6A	11882377
3A	Cluster_10171|Contig1|original@3288	14.6	3A	2311491
5B	Cluster_10172|Contig1|original@184	189.5	5A	116645081
5A	Cluster_10172|Contig2|original@1057	230.4	5A	116645081
5B	Cluster_10173|Contig1|original@773	170	5B	214145316
5B	Cluster_10173|Contig5|original@861	170	5B	214145316
5A	Cluster_10174|Contig1|complementarySeq@213	46.7	NA	NA
1B	Cluster_10177|Contig2|likelySeq@318	32.4	NA	NA
3B	Cluster_10179|Contig1|original@85	0.800000000000011	3B	1191536
6A	Cluster_10181|Contig1|original@459	148.6	6A	196906352
4B	Cluster_10183|Contig2|original@187	143.3	4B	300992460
4A	Cluster_10185|Contig1|original@330	3.3	NA	NA
5A	Cluster_10187|Contig1|complementarySeq@502	252.5	5A	126666100
4B	Cluster_10190|Contig2|complementarySeq@189	66.6	4A	140682114
4B	Cluster_10193|Contig1|likelySeq@630	76	4B	143250554
4B	Cluster_10196|Contig1|complementarySeq@709	125.9	NA	NA
4B	Cluster_10196|Contig2|complementarySeq@1250	125.9	NA	NA
4B	Cluster_10196|Contig2|likelySeq@222	125.9	NA	NA
7B	Cluster_10199|Contig1|original@242	75.2	7B	63634474
2B	Cluster_10204|Contig1|likelySeq@322	141.9	2B	210641546
5A	Cluster_10206|Contig1|complementarySeq@168	224.1	5B	227089998
5A	Cluster_10206|Contig1|likelySeq@168	224.1	5B	227089998
5B	Cluster_10206|Contig2|complementarySeq@216	186.9	5B	227089998
7A	Cluster_10207|Contig2|original@1726	140.8	7B	98581039
7A	Cluster_1021|Contig2|original@517	143	NA	NA
7A	Cluster_1021|Contig4|original@617	143	NA	NA
4A	Cluster_10212|Contig2|original@711	228.8	7A	1668806
3B	Cluster_10213|Contig2|original@724	77.7	3B	71245109
2B	Cluster_10214|Contig3|original@758	35	2B	4929450
6A	Cluster_10219|Contig2|original@290	88.8	6A	179137229
5A	Cluster_10226|Contig2|original@335	282.3	NA	NA
5A	Cluster_10226|Contig3|original@627	282.3	NA	NA
1A	Cluster_1023|Contig2|original@157	72.3	1B	136022802
1A	Cluster_1023|Contig2|original@244	76.1	1B	136022802
6A	Cluster_10230|Contig1|likelySeq@1007	104.1	NA	NA
6A	Cluster_10230|Contig2|likelySeq@408	104.1	NA	NA
2B	Cluster_10231|Contig2|original@212	94.4	NA	NA
4B	Cluster_10232|Contig1|complementarySeq@189	143.8	5A	129780489
4B	Cluster_10233|Contig2|original@97	153.1	4B	306221174
4B	Cluster_10233|Contig2|original@479	153.5	4B	306221174
4B	Cluster_10233|Contig2|original@187	153.5	4B	306221174
1A	Cluster_10236|Contig1|original@110	46.8	1A	4186342
1A	Cluster_10236|Contig2|original@91	46.8	1A	4186342
5B	Cluster_10239|Contig2|original@174	219.3	5B	252769039
5B	Cluster_10245|Contig1|complementarySeq@1075	66.9	5B	21228665
4B	Cluster_10252|Contig1|original@1563	89.6	4B	70621486
4B	Cluster_10252|Contig3|original@453	89.6	4B	70621486
3B	Cluster_10256|Contig1|original@100	38.8	7B	107883573
6B	Cluster_10258|Contig1|likelySeq@2057	86.3	6A	50431206
4B	Cluster_10259|Contig1|complementarySeq@124	89.6	4B	188106367
7A	Cluster_10262|Contig1|original@427	140.1	NA	NA
2B	Cluster_10264|Contig1|original@542	182	2B	253661812
5B	Cluster_10265|Contig1|original@247	179.3	5B	222994482
5B	Cluster_10265|Contig2|original@417	179.3	5B	222994482
5A	Cluster_10265|Contig3|original@484	216.3	5B	222994482
1A	Cluster_1027|Contig1|complementarySeq@1709	127.7	NA	NA
1A	Cluster_1027|Contig1|likelySeq@1709	127.7	NA	NA
4B	Cluster_10274|Contig1|complementarySeq@263	98.3	4B	236506829
5B	Cluster_10275|Contig1|likelySeq@132	55.3	5B	101843501
1B	Cluster_10277|Contig1|original@251	17.1	1A	2207556
6B	Cluster_10279|Contig2|original@91	3.9	NA	NA
5B	Cluster_10280|Contig1|complementarySeq@144	110.7	5B	187514045
5B	Cluster_10280|Contig1|likelySeq@144	110.7	5B	187514045
5A	Cluster_10280|Contig2|original@276	143.5	5A	89833786
4B	Cluster_10281|Contig1|original@729	89.6	4B	103950509
4B	Cluster_10281|Contig2|original@304	89.6	NA	NA
4B	Cluster_10281|Contig3|original@2434	89.6	4B	103950509
4B	Cluster_10281|Contig4|original@1385	89.6	4B	134772571
4B	Cluster_10281|Contig5|original@1424	89.6	4B	134772571
6B	Cluster_10282|Contig1|original@524	171	6A	199626817
6A	Cluster_10282|Contig2|original@581	162.5	6A	200233598
6B	Cluster_10282|Contig6|original@537	171.2	6B	195463682
6B	Cluster_10282|Contig8|original@481	171.2	6B	194950519
4A	Cluster_10284|Contig1|complementarySeq@383	80.3	4A	153857133
4B	Cluster_10284|Contig1|likelySeq@562	89.2	4B	107240568
7A	Cluster_10287|Contig2|original@230	12.6	7A	4927033
2A	Cluster_1029|Contig1|original@1343	9.8	2A	2682863
2A	Cluster_1029|Contig1|original@1276	10.1	2A	2682863
2B	Cluster_1029|Contig2|original@1804	22	NA	NA
2B	Cluster_1029|Contig2|original@944	22.3	NA	NA
2B	Cluster_1029|Contig3|original@1504	22.3	NA	NA
2B	Cluster_1029|Contig3|original@1310	22	NA	NA
2A	Cluster_1029|Contig4|original@576	10.4	2A	2682863
5B	Cluster_10291|Contig1|likelySeq@1477	113.6	5B	189332112
4B	Cluster_10295|Contig2|likelySeq@629	56.5	NA	NA
5B	Cluster_10296|Contig1|original@775	247.7	5B	262745657
5B	Cluster_10296|Contig5|original@768	248.3	5B	262745657
4A	Cluster_10298|Contig1|complementarySeq@745	62.1	NA	NA
2B	Cluster_103|Contig1|original@188	31.6	NA	NA
2B	Cluster_103|Contig3|original@930	31.6	2A	7473395
2B	Cluster_103|Contig5|original@221	31.6	NA	NA
2B	Cluster_103|Contig6|original@451	31.6	NA	NA
2B	Cluster_103|Contig7|original@1853	31.6	NA	NA
7A	Cluster_10300|Contig3|original@233	148	7A	80797129
7A	Cluster_10300|Contig5|original@195	148.4	7B	165677215
4A	Cluster_10301|Contig1|complementarySeq@233	59.3	4A	28978185
4A	Cluster_10301|Contig1|complementarySeq@141	59.3	4A	28978185
4A	Cluster_10301|Contig1|likelySeq@141	59.3	4A	28978185
6B	Cluster_10307|Contig1|original@247	55.2	6A	10962161
3B	Cluster_10318|Contig1|original@993	228.4	NA	NA
3B	Cluster_10318|Contig2|original@1630	228.4	NA	NA
3B	Cluster_10318|Contig4|original@2014	228.4	NA	NA
3A	Cluster_10318|Contig4|original@1697	219.3	NA	NA
3B	Cluster_10318|Contig5|original@980	228.4	NA	NA
3A	Cluster_1032|Contig1|original@897	80.5	3A	55311312
3A	Cluster_1032|Contig1|original@247	80.5	3A	55311312
3B	Cluster_1032|Contig2|original@986	101.6	3B	217546672
3B	Cluster_1032|Contig3|original@1017	101.6	3B	217546672
3B	Cluster_1032|Contig4|original@984	101.6	3B	217546672
3A	Cluster_1032|Contig4|original@268	80.5	3B	217546672
1A	Cluster_10322|Contig1|complementarySeq@393	0.599999999999994	1A	65551
2B	Cluster_1033|Contig2|original@1026	248.9	2B	329324612
2B	Cluster_1033|Contig3|original@798	248.9	2B	329324612
2B	Cluster_1033|Contig5|original@974	248.9	2B	329324612
7A	Cluster_10331|Contig1|complementarySeq@219	148	7A	83432569
2A	Cluster_10333|Contig1|original@325	112.7	2A	109776407
2B	Cluster_10333|Contig2|original@138	141.9	2B	199743600
6B	Cluster_10339|Contig1|likelySeq@255	95.4	6B	39324623
2B	Cluster_10343|Contig4|original@967	217.5	2A	226972758
2A	Cluster_10343|Contig5|original@1751	200.8	2A	226972758
2A	Cluster_10343|Contig5|original@248	200.8	2A	226972758
5A	Cluster_10344|Contig2|original@422	75	NA	NA
7B	Cluster_10347|Contig1|likelySeq@268	86.3	7B	196441435
7B	Cluster_10347|Contig1|likelySeq@551	87.2	7B	196441435
2A	Cluster_10348|Contig1|original@1849	41.4	2B	14152512
2B	Cluster_10348|Contig2|original@1557	65.4	NA	NA
1A	Cluster_10350|Contig1|likelySeq@1018	80.6	1A	199846834
1B	Cluster_10350|Contig2|likelySeq@108	95.8	1B	192776411
1B	Cluster_10352|Contig1|likelySeq@106	59.2	1A	156327133
6B	Cluster_10362|Contig1|original@180	139.5	NA	NA
2A	Cluster_10364|Contig1|likelySeq@1036	93.7	2A	132939171
2A	Cluster_10364|Contig3|original@768	93.7	2A	132939171
3B	Cluster_10365|Contig1|likelySeq@271	147.6	3A	146321658
5A	Cluster_10366|Contig1|original@225	229.8	5A	115220642
5B	Cluster_10366|Contig2|original@331	189.7	5B	231630057
1B	Cluster_10369|Contig2|complementarySeq@86	70.4	1B	195092353
1B	Cluster_10369|Contig2|likelySeq@86	70.4	1B	195092353
1B	Cluster_1037|Contig1|likelySeq@367	97.1	1B	166645244
7A	Cluster_10374|Contig3|original@137	7.7	NA	NA
2A	Cluster_10376|Contig2|likelySeq@1248	134.3	NA	NA
2A	Cluster_10376|Contig3|complementarySeq@209	134.3	2A	95809345
2A	Cluster_10376|Contig3|complementarySeq@57	134.3	2A	95809345
2A	Cluster_10376|Contig3|likelySeq@57	134.3	NA	NA
1B	Cluster_10382|Contig1|likelySeq@184	159.2	1B	271446803
2B	Cluster_10383|Contig2|complementarySeq@92	233.1	2B	322152139
2B	Cluster_10383|Contig2|likelySeq@93	233.1	2B	322152139
5A	Cluster_10385|Contig1|original@818	280	4B	300270919
3B	Cluster_10387|Contig1|original@1861	83.7	3B	105983034
3A	Cluster_10387|Contig2|complementarySeq@1753	70.5	3A	24166304
3A	Cluster_10387|Contig2|likelySeq@109	70.5	3B	105983034
1A	Cluster_10392|Contig1|original@552	175.4	1A	237282551
7A	Cluster_10393|Contig2|complementarySeq@301	197.2	7B	218715768
6B	Cluster_10394|Contig2|likelySeq@326	103.3	6A	157203448
6B	Cluster_104|Contig1|likelySeq@1492	111.7	NA	NA
7B	Cluster_1040|Contig1|original@394	156.3	NA	NA
7A	Cluster_1040|Contig2|original@1496	221.9	7A	163718523
7A	Cluster_1040|Contig2|original@1474	220.6	7A	163718523
7B	Cluster_1040|Contig3|original@514	156.3	NA	NA
7B	Cluster_1040|Contig3|original@1422	156.3	NA	NA
1B	Cluster_10400|Contig1|complementarySeq@760	137	NA	NA
3B	Cluster_10401|Contig1|original@140	76.9	3A	12643924
5B	Cluster_10405|Contig1|complementarySeq@916	108.3	5B	183326445
4B	Cluster_10408|Contig2|original@2052	89.6	4B	207768845
4B	Cluster_10408|Contig3|original@322	89.6	4B	207768845
4A	Cluster_10411|Contig2|original@201	24.2	NA	NA
4B	Cluster_10411|Contig3|likelySeq@245	127.8	NA	NA
7A	Cluster_10415|Contig1|original@85	138.3	NA	NA
1A	Cluster_10416|Contig1|original@369	114.7	1A	223939594
1A	Cluster_10416|Contig1|original@242	114.7	1A	223939594
1B	Cluster_10416|Contig2|original@1239	137.7	1B	246277055
1B	Cluster_10416|Contig3|original@1188	137.7	1B	246277055
1A	Cluster_10416|Contig4|original@394	114.7	1A	223939594
2A	Cluster_10418|Contig2|original@198	96.8	2A	135646407
4A	Cluster_10420|Contig2|complementarySeq@310	77.2	4B	65809885
1A	Cluster_10421|Contig1|complementarySeq@1450	180.5	1A	242108281
1A	Cluster_10421|Contig1|likelySeq@1700	180.5	1A	242108281
1A	Cluster_10421|Contig2|original@392	180.5	1A	242108281
2A	Cluster_10425|Contig1|complementarySeq@1049	93.7	2A	69730486
2A	Cluster_10425|Contig1|likelySeq@1049	93.7	2A	69730486
2A	Cluster_10425|Contig1|likelySeq@165	94.5	2A	69730486
2B	Cluster_1043|Contig2|complementarySeq@1659	37.3	2B	5674142
6A	Cluster_10431|Contig1|original@464	0.299999999999983	NA	NA
5B	Cluster_10431|Contig3|original@1208	80	5B	170585428
6A	Cluster_10431|Contig4|original@565	0	NA	NA
6B	Cluster_10431|Contig5|original@664	3.4	6B	2416873
3B	Cluster_10437|Contig1|likelySeq@1275	146.7	NA	NA
3B	Cluster_10437|Contig2|likelySeq@1437	147.2	NA	NA
4B	Cluster_1044|Contig1|original@948	158.8	NA	NA
5A	Cluster_1044|Contig2|original@2555	294	NA	NA
5A	Cluster_1044|Contig3|original@515	290.5	NA	NA
5A	Cluster_1044|Contig5|original@224	294	5A	138557778
2A	Cluster_10444|Contig1|complementarySeq@310	158.8	2A	105181792
2A	Cluster_10444|Contig1|likelySeq@93	158.8	2A	105181792
2B	Cluster_10444|Contig2|complementarySeq@233	182.3	2B	255153386
2B	Cluster_10444|Contig2|likelySeq@233	182.3	2B	255153386
3B	Cluster_10445|Contig1|complementarySeq@240	178.2	3B	650758167
3B	Cluster_10445|Contig1|likelySeq@655	178.2	3B	650758167
3B	Cluster_10445|Contig2|original@775	178.2	3B	650758167
2A	Cluster_10447|Contig1|complementarySeq@804	107.5	2A	151819034
2B	Cluster_10448|Contig1|complementarySeq@415	255.7	NA	NA
2B	Cluster_10448|Contig3|original@510	255.7	NA	NA
2A	Cluster_1045|Contig1|original@865	111.2	NA	NA
4B	Cluster_10450|Contig1|complementarySeq@1584	89.6	4B	103162593
5A	Cluster_10452|Contig2|original@517	72.6	NA	NA
1B	Cluster_10456|Contig1|original@317	88.6	1B	192290935
5A	Cluster_10458|Contig1|likelySeq@1302	74.8	NA	NA
5A	Cluster_10458|Contig2|likelySeq@1383	74.8	NA	NA
5B	Cluster_1046|Contig3|original@718	276.9	NA	NA
7A	Cluster_10461|Contig1|likelySeq@159	117.2	7B	35037995
2A	Cluster_10462|Contig1|complementarySeq@2170	162.6	NA	NA
5B	Cluster_10467|Contig1|original@1549	241.7	5B	260256045
4A	Cluster_10467|Contig2|original@542	160.1	4A	182936241
5A	Cluster_10468|Contig2|likelySeq@787	91.2	NA	NA
5A	Cluster_10468|Contig3|original@841	91.2	NA	NA
3B	Cluster_10471|Contig1|likelySeq@272	147.2	3B	573439707
7B	Cluster_10473|Contig1|likelySeq@956	78.5	7B	62641561
7B	Cluster_10473|Contig1|likelySeq@752	78.5	7B	62641561
6B	Cluster_10474|Contig1|original@248	131.7	NA	NA
6B	Cluster_10474|Contig2|original@1550	131.7	NA	NA
2B	Cluster_10477|Contig1|complementarySeq@870	37.3	2B	5661529
2B	Cluster_10477|Contig2|complementarySeq@98	37.3	2B	5661529
2B	Cluster_10477|Contig2|complementarySeq@235	37.3	2B	5661529
2B	Cluster_10477|Contig2|likelySeq@1133	37.3	2B	5661529
1A	Cluster_10482|Contig1|original@365	84.4	NA	NA
1B	Cluster_10482|Contig2|original@152	100.1	1B	200790279
1B	Cluster_10482|Contig3|original@302	100.1	1B	200790279
5A	Cluster_10485|Contig5|original@1378	161.5	5A	91906169
5A	Cluster_10485|Contig6|original@1126	162	5A	91906169
1B	Cluster_10488|Contig3|original@1348	42.9	1A	15575524
1B	Cluster_10488|Contig3|original@716	42.9	1A	15575524
1A	Cluster_10488|Contig4|original@514	57.3	1A	15575524
5B	Cluster_10489|Contig1|original@876	132	5B	198392247
2B	Cluster_1049|Contig2|complementarySeq@418	144.9	2B	203578902
2A	Cluster_1049|Contig2|likelySeq@1097	112.4	2A	147967981
6A	Cluster_10490|Contig2|original@833	96.4	NA	NA
6A	Cluster_10490|Contig2|original@496	96.4	NA	NA
2A	Cluster_10492|Contig1|complementarySeq@948	230.4	2B	329095283
2B	Cluster_10492|Contig1|likelySeq@784	242.9	2B	329095283
2A	Cluster_10492|Contig2|complementarySeq@965	230.4	2A	243653606
2B	Cluster_10492|Contig2|likelySeq@987	242.9	2A	243653606
2B	Cluster_10492|Contig2|likelySeq@936	242	2A	243653606
1B	Cluster_10494|Contig2|complementarySeq@525	96.6	NA	NA
6A	Cluster_105|Contig1|complementarySeq@1085	116.1	5B	258510715
6A	Cluster_105|Contig1|likelySeq@901	116.5	3B	184658751
6B	Cluster_105|Contig2|original@382	132.4	3A	118105465
4B	Cluster_10500|Contig1|original@757	86.9	NA	NA
4B	Cluster_10500|Contig3|original@1384	86.6	NA	NA
6B	Cluster_10501|Contig1|original@358	84.1	6B	60262406
6B	Cluster_10501|Contig1|original@293	84.1	6B	60262406
5A	Cluster_10509|Contig1|complementarySeq@163	72	NA	NA
5A	Cluster_10509|Contig1|likelySeq@163	72	5B	169956689
3B	Cluster_10510|Contig1|original@440	178.2	3B	622843613
3A	Cluster_10510|Contig2|original@320	162.2	3A	163702770
3B	Cluster_10510|Contig3|original@1320	178.2	3B	622843613
3A	Cluster_10510|Contig4|original@2837	162.4	3A	163702770
3B	Cluster_10510|Contig5|original@433	178.2	3A	163702770
3A	Cluster_10510|Contig5|original@1993	162.2	3A	163702770
3A	Cluster_10511|Contig1|likelySeq@109	169.5	NA	NA
5A	Cluster_10513|Contig1|complementarySeq@680	262.8	5B	253460416
6B	Cluster_10520|Contig1|complementarySeq@281	119.5	NA	NA
6A	Cluster_10520|Contig2|complementarySeq@1568	103.1	NA	NA
6B	Cluster_10522|Contig3|complementarySeq@431	86.3	6B	107596929
2A	Cluster_10523|Contig1|likelySeq@535	112.4	2A	74590178
4A	Cluster_10525|Contig5|original@384	228.4	NA	NA
7B	Cluster_10526|Contig1|original@478	78.5	NA	NA
7B	Cluster_10526|Contig1|original@495	78.5	NA	NA
5B	Cluster_10529|Contig5|original@91	235	5B	256874681
4B	Cluster_10534|Contig1|complementarySeq@390	96.2	4A	134090126
4A	Cluster_10534|Contig1|likelySeq@423	77.2	4A	134090126
3A	Cluster_10535|Contig1|original@978	103.4	3B	572750539
3B	Cluster_10535|Contig3|original@651	133.2	3B	572750539
3B	Cluster_10535|Contig4|original@2785	133.2	3B	572750539
7A	Cluster_10536|Contig2|original@424	176.5	7A	141836178
2A	Cluster_10538|Contig2|original@272	86.7	2A	188564801
2A	Cluster_10540|Contig12|original@2635	112.7	NA	NA
4B	Cluster_10546|Contig1|complementarySeq@2089	148.7	4B	306472491
1B	Cluster_10549|Contig1|original@75	66.6	1B	31149205
1B	Cluster_10549|Contig2|original@1150	66.8	1A	36357096
5A	Cluster_10555|Contig1|likelySeq@152	122.5	NA	NA
7B	Cluster_10556|Contig3|original@779	114	7B	209281417
2A	Cluster_1056|Contig3|likelySeq@860	8	2A	2185152
2A	Cluster_1056|Contig3|likelySeq@1601	7	2A	2185152
3B	Cluster_10565|Contig2|original@3143	93.3	3B	163642331
2B	Cluster_10571|Contig1|original@389	274.5	2A	246584884
2B	Cluster_10571|Contig3|original@93	274.2	2B	341167077
2B	Cluster_10571|Contig4|original@677	274.2	2B	341167077
3B	Cluster_10573|Contig2|original@1419	164.1	3B	634729042
1B	Cluster_10576|Contig1|likelySeq@870	57	1B	68978842
7A	Cluster_10577|Contig2|original@930	97.9	7A	27167370
5B	Cluster_10590|Contig1|complementarySeq@1445	167.2	5B	211763419
3A	Cluster_10591|Contig1|original@601	218.6	3B	738268072
3A	Cluster_10591|Contig3|original@1309	218.6	3B	738268072
4A	Cluster_10606|Contig1|complementarySeq@1789	77.2	4A	79425014
7A	Cluster_1062|Contig21|original@559	140.8	7B	153871189
2B	Cluster_1062|Contig7|original@3408	98.7	NA	NA
2A	Cluster_10621|Contig1|complementarySeq@2163	121.9	2B	119613520
2B	Cluster_10621|Contig1|likelySeq@1878	148.8	2B	119613520
2A	Cluster_10630|Contig2|original@127	163.3	2B	260603337
3B	Cluster_1064|Contig1|original@1887	117	NA	NA
3B	Cluster_1064|Contig1|original@4375	116.6	NA	NA
3B	Cluster_1064|Contig2|original@2902	117	3A	97018499
3B	Cluster_1064|Contig4|original@5239	117	3A	97018499
3B	Cluster_1064|Contig4|original@967	117	3A	97018499
4A	Cluster_10640|Contig1|original@449	229.4	4A	213431859
7A	Cluster_10640|Contig2|original@531	10.5	7A	2146358
3A	Cluster_10644|Contig1|likelySeq@712	118	NA	NA
2A	Cluster_1066|Contig3|original@2131	200.1	2B	293790285
2A	Cluster_10669|Contig1|original@993	112.7	NA	NA
1B	Cluster_10672|Contig1|original@1440	11	1B	6088371
1B	Cluster_10672|Contig2|original@1415	11	1A	3177224
7B	Cluster_10683|Contig1|original@982	90	NA	NA
3A	Cluster_10688|Contig2|complementarySeq@314	238.3	3B	760658378
3B	Cluster_10688|Contig2|complementarySeq@923	254.7	3B	760658378
3A	Cluster_10688|Contig2|likelySeq@314	238.3	3B	760658378
3B	Cluster_10688|Contig2|likelySeq@923	254.7	3B	760658378
